"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563455"," Report B000001 ","-------------","-------------","-----------",""
"","","","FOR COST","RELATED COSTS","","","","","","","","","","","","","","","","","","","","","","","","NON-","","INTERNS &","INTERNS &","","","RESIDENT ",""
"","","","ALLOCATION"," "," ","","","ADMINIS-","MAIN-","","","","","LAUNDRY","","","","MAIN-","NURSING","CENTRAL","","MEDICAL","","","","","OTHER","PHYSICIAN","","RESIDENTS","RESIDENTS","PARAMEDICAL","","COST & POST",""
"","","COST CENTER DESCRIPTIONS","(from Wkst.","BLDGS. &","MOVABLE","EMPLOYEE","SUBTOTAL","TRATIVE &","TENANCE &","OPERATION","","","COST CENTER DESCRIPTIONS","& LINEN","HOUSE-"," ","","TENANCE OF","ADMINIS-","SERVICES &","","RECORDS &","SOCIAL","","","COST CENTER DESCRIPTIONS","GENERAL","ANES-","NURSING","SALARY AND","PROGRAM","EDUCATION","","STEPDOWN",""
"","","","A col. 7)","FIXTURES","EQUIPMENT","BENEFITS","(cols. 0-4)","GENERAL","REPAIRS","OF PLANT","","","","SERVICE","KEEPING","DIETARY","CAFETERIA","PERSONNEL","TRATION","SUPPLY","PHARMACY","LIBRARY","SERVICE","","","","SERVICE","THETISTS","SCHOOL","FRINGES","COSTS","(SPECIFY)","SUBTOTAL"," ADJUSTMENTS","TOTAL"
"","","","0","1","2","4","4A","5","6","7","","","","8","9","10","11","12","13","14","15","16","17","","","","18","19","20","21","22","23","24","25","26"
"Entity[563455] Report(B000001)","Entity[563455] Report(B000001[00000])","Entity[563455] Report(B000001[00100])","Entity[563455] Report(B000001[00200])", ,"Entity[563455] Report(B000001[00400])", ,"Entity[563455] Report(B000001[00600])","Entity[563455] Report(B000001[00700])","Entity[563455] Report(B000001[00800])","Entity[563455] Report(B000001[00900])","Entity[563455] Report(B000001[01000])","Entity[563455] Report(B000001[01100])", ,"Entity[563455] Report(B000001[01300])", , ,"Entity[563455] Report(B000001[01600])","Entity[563455] Report(B000001[01700])", , , ,"Entity[563455] Report(B000001[02100])","Entity[563455] Report(B000001[02200])", ,"Entity[563455] Report(B000001[02400])","Entity[563455] Report(B000001[02500])","Entity[563455] Report(B000001[02600])"
"Line(00100)","34256718","34256718"
"Line(00101)","1308676"
"Line(00102)","1273695"
"Line(00200)","54384902", ,"54384902"
"Line(00203)","239570"
"Line(00400)","7345783", , , ,"7345783"
"Line(00501)","1115831","11802","16184"
"Line(00502)","16125745","10185","13967"
"Line(00503)","3226889", ,"24682", ,"258"
"Line(00504)","421120","65530","102239", ,"6980"
"Line(00505)","35520099"
"Line(00506)","93624805","1524103","1784936", ,"484011"
"Line(00600)","25214230","784968","1371971", ,"32421", ,"30955879"
"Line(00700)","2328320","1026541","1640427", ,"10723", ,"914778","6609943"
"Line(00800)","3299685","50535","70389", , , ,"37732","8302","3931286"
"Line(00900)","10371929","126465","184969", ,"17783", ,"113155","24898", ,"12268411"
"Line(01000)","11210231","666640","1070740", ,"84573", ,"592505","130369","105","243193","16048263"
"Line(01100)", , , , , , , , , , ,"6787454","6787454"
"Line(01300)","3852119","14159","89676", ,"63454", ,"41970","9235", ,"17227", ,"54478", ,"4721614"
"Line(01600)","13934231","30192","41402", ,"835", ,"22193","4883", ,"9109", ,"1496", , , , ,"15951765"
"Line(01700)","5921885","33344","45725", ,"92303", ,"27462","6042", ,"11272", ,"103650", ,"76210", , , ,"7164090"
"Line(02100)","14301902","41360","207767", ,"256729", ,"30403","6690", ,"12479", ,"42778", , , , , , , , , ,"16921658"
"Line(02200)","32939727", ,"17422", ,"620967", ,"9339","2055", ,"3833", ,"2917", , , , , , , , , , ,"38165872"
"Line(02301)","380941", ,"41716", ,"11227", ,"21896","4818", ,"8987", ,"6077"
"Line(02302)","368808", , , ,"9826"
"Line(03000)","61562687","4534545","6225819", ,"1067493", ,"3337324","734311","1265076","1369801","3833691","1336580", ,"1127857", , ,"1178475","4808964", , , ,"16452355","37107384", ,"159117111","-53559739","105557372"
"Line(03100)","15417068","776548","1203407", ,"232814", ,"645081","141937","246607","264773","531882","267840", ,"231631", , ,"295230","602927", , , , , , ,"24056504", ,"24056504"
"Line(03200)","8345154","468138","641960", ,"139510", ,"344120","75717","122121","141244","264208","162723", ,"135463", , ,"178713","350684", , , , , , ,"13148587", ,"13148587"
"Line(03500)","3009245","267238","366465", ,"51351", ,"196442","43223","20866","80629","77595","60403", ,"48953", , ,"63655","104378", , , , , , ,"5067390", ,"5067390"
"Line(03501)","9656261","314674","431514", ,"175375", ,"231311","50895","29058","94942", ,"203385", ,"152443", , ,"327825","465950", , , , , , ,"14443576", ,"14443576"
"Line(04000)","1511735", ,"54704", ,"26592", , , ,"19434", ,"98665","30489", ,"24681", , ,"37172","130328", , , ,"200143","451412", ,"2900486","-651555","2248931"
"Line(04100)","1916330", ,"317230", ,"32144", ,"170050","37416","47480","69797","112292","36702", ,"30255", , ,"24347","150613", , , ,"59013","133100", ,"3671253","-192113","3479140"
