"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 562588"," Report D00B182 ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[562588] Report(D00B182)", ,"Entity[562588] Report(D00B182[00100])","Entity[562588] Report(D00B182[00200])","Entity[562588] Report(D00B182[00300])","Entity[562588] Report(D00B182[00400])","Entity[562588] Report(D00B182[00500])"
"Line(05000)", ,"16541213","314828603","0","10319","542"
"Line(05001)", ,"1698445","32862124","0"
"Line(05200)", ,"1038015","25289918","0","159","7"
"Line(05300)", ,"2827869","81548102","0","7952","276"
"Line(05301)", ,"216288","8920641","0","2"
"Line(05400)", ,"10273279","160166050","0","40897","2623"
"Line(05413)", ,"508215","8694329","0","5"
"Line(05500)", ,"1903217","59984436","0","177","6"
"Line(05600)", ,"445126","17859269","0","4982","124"
"Line(05601)", ,"52580","508121","0","15","2"
"Line(05700)", ,"384071","104060334","0","77411","286"
"Line(05701)", ,"33213","4477410","0"
"Line(05800)", ,"1744002","62950039","0","10085","279"
"Line(05801)", ,"96808","6487343","0"
"Line(05900)", ,"1210393","54656719","0","2837","63"
"Line(06000)", ,"3396462","230476776","0","597099","8799"
"Line(06005)", ,"2414177","67210298","0","25026","899"
"Line(06006)", ,"60788","1772435","0","281","10"
"Line(06016)", ,"315971","10611146","0","62","2"
"Line(06300)", ,"721966","42366753","0","13261","226"
"Line(06301)", ,"2232","1751258","0"
"Line(06400)", ,"551968","18896515","0","549","16"
"Line(06500)", ,"3724815","77294061","0","74096","3571"
"Line(06501)", ,"195728","3733054","0","84","4"
"Line(06502)", ,"144516","8209666","0","7"
"Line(06600)", ,"563631","28256856","0","9771","195"
"Line(06602)", ,"39262","1257620","0","1"
"Line(06700)", ,"64862","11949445","0","427","2"
"Line(06702)", ,"39618","1625001","0"
"Line(06800)", ,"59941","4213457","0","390","6"
"Line(06802)", ,"127020","4528253","0"
"Line(06803)", ,"4232","756193","0","1"
"Line(06900)", ,"709866","17702404","0","24444","980"
"Line(06901)", ,"3258","290555","0","1"
"Line(07000)", ,"671327","24217792","0","12979","360"
"Line(07100)", ,"2105635","179644475","0","56895","667"
"Line(07101)", ,"292977","10950923","0"
"Line(07200)", ,"804500","111113205","0"
"Line(07201)", ,"50011","2937958","0"
"Line(07300)", ,"2735082","293052377","0","325326","3036"
"Line(07301)", ,"258734","19831214","0"
"Line(07400)", ,"3141814","55575780","0","4168","236"
"Line(07602)", ,"7550","874667","0"
"Line(09000)", ,"14439816","244115866","0","20475","1211"
"Line(09001)", ,"839043","13516570","0","284","18"
"Line(09002)", ,"442333","3292757","0","90","12"
"Line(09003)", ,"934906","14733550","0","136","9"
"Line(09004)", ,"730162","9956117","0","166","12"
"Line(09005)", ,"132456","2971702","0","25","1"
"Line(09006)", ,"804462","32676958","0","236","6"
"Line(09007)", ,"134603","2482236","0","54","3"
"Line(09008)", ,"117643","2519630","0"
"Line(09009)", ,"516060","1804081","0","21","6"
"Line(09010)", ,"468410","2150272","0","29","6"
"Line(09011)", ,"255071","4076320","0"
"Line(09012)", ,"7722","318929","0","4"
"Line(09013)", ,"178828","2295858","0","12","1"
"Line(09014)", ,"1962026","41770191","0","317","15"
"Line(09015)", ,"230468","2911926","0","4"
"Line(09016)", ,"212206","1847353","0","30","3"
"Line(09017)", ,"2677977","30800567","0","1062","92"
"Line(09018)", ,"336059","5208951","0","115","7"
"Line(09020)", ,"1301485","15903201","0"
"Line(09100)", ,"2718548","133801682","0","524515","10657"
"Line(09101)", ,"498170","27806209","0","181","3"
"Line(09200)", , ,"19164955"
"Line(09400)", ,"197259","7931229","0"
